season,time_cycle,workingday,casual_max,casual_mean,registered_max,registered_mean,cnt_max,cnt_mean,total_customer
fall,morning,non-working days,108,24.791030534351144,780,189.83396946564886,808,214.625,224927
fall,afternoon,non-working days,168,75.63104325699746,886,467.8651399491094,977,543.4961832061068,213594
fall,night,non-working days,128,27.09438775510204,598,134.24744897959184,698,161.34183673469389,189738
summer,morning,non-working days,131,20.345098039215685,696,164.62156862745098,745,184.96666666666667,188666
winter,morning,non-working days,121,13.782563025210084,808,182.36764705882354,839,196.1502100840336,186735
summer,afternoon,non-working days,264,66.92447916666667,782,407.7630208333333,957,474.6875,182280
winter,afternoon,non-working days,158,41.96666666666667,876,417.00555555555553,967,458.97222222222223,165230
summer,night,non-working days,213,20.41391304347826,554,111.27217391304347,686,131.68608695652173,151439
winter,night,non-working days,81,10.17148182665424,662,105.73066169617894,743,115.90214352283317,124363
fall,midday/noon,non-working days,178,59.50190839694657,502,171.0591603053435,651,230.56106870229007,120814
springer,morning,non-working days,77,7.1172638436482085,628,114.00325732899023,662,121.12052117263843,111552
summer,midday/noon,non-working days,240,54.49609375,360,156.88671875,537,211.3828125,108228
winter,midday/noon,non-working days,240,40.38622129436326,381,174.08350730688935,470,214.4697286012526,102731
fall,midday/noon,workdays,327,167.71052631578948,510,264.6622807017544,757,432.37280701754383,98581
summer,midday/noon,workdays,361,180.84375,421,244.74107142857142,730,425.58482142857144,95331
winter,midday/noon,workdays,362,134.8859649122807,526,270.9035087719298,776,405.7894736842105,92520
springer,afternoon,non-working days,140,19.805013927576603,681,237.61281337047353,801,257.41782729805016,92413
fall,night,workdays,237,46.2718253968254,362,113.0515873015873,584,159.3234126984127,80299
springer,night,non-working days,86,5.1175337186897885,480,63.44219653179191,555,68.55973025048169,71165
fall,morning,workdays,228,46.93598233995585,437,101.76600441501104,627,148.7019867549669,67362
summer,afternoon,workdays,354,153.83333333333334,601,238.5654761904762,712,392.3988095238095,65923
fall,afternoon,workdays,350,144.25882352941176,473,242.88235294117646,783,387.1411764705882,65814
summer,night,workdays,230,36.86904761904762,461,92.01587301587301,554,128.88492063492063,64958
summer,morning,workdays,268,46.43847874720358,549,91.73601789709173,608,138.1744966442953,61764
springer,midday/noon,non-working days,100,19.422268907563026,246,103.55042016806723,315,122.97268907563026,58535
winter,morning,workdays,258,31.44078947368421,490,96.6140350877193,663,128.0548245614035,58393
winter,afternoon,workdays,347,96.74269005847954,530,240.3918128654971,731,337.1345029239766,57650
winter,night,workdays,119,18.830409356725145,351,86.41520467836257,470,105.24561403508773,53991
springer,midday/noon,workdays,357,61.28688524590164,400,149.34426229508196,690,210.63114754098362,51394
springer,afternoon,workdays,367,43.7103825136612,357,128.28961748633878,685,172.0,31476
springer,night,workdays,155,7.314338235294118,262,44.53125,417,51.845588235294116,28204
springer,morning,workdays,226,11.463312368972746,359,44.320754716981135,585,55.78406708595388,26609
